V1,V2
Pedaliaceae,Pedaliaceae
Acanthaceae,Acanthaceae
Verbenaceae,Verbenaceae
Bignoniaceae,Bignoniaceae
Thomandersiaceae,Thomandersiaceae
Lentibulariaceae,Lentibulariaceae
Martyniaceae,Martyniaceae
Schlegeliaceae,Schlegeliaceae
Wightiaceae,Wightiaceae
Phrymaceae,Phrymaceae
Paulowniaceae,Paulowniaceae
Orobanchaceae,Orobanchaceae
Mazaceae,Mazaceae
Lamiaceae,Lamiaceae
Stilbaceae,Stilbaceae
Byblidaceae,Byblidaceae
Linderniaceae,Linderniaceae
Scrophulariaceae,Scrophulariaceae
Plantaginaceae,Plantaginaceae
Calceolariaceae,Calceolariaceae
Gesneriaceae,Gesneriaceae
Peltantheraceae,Peltantheraceae
Tetrachondraceae,Tetrachondraceae
Carlemanniaceae,Carlemanniaceae
Oleaceae,Oleaceae
Plocospermataceae,Plocospermataceae
Sphenocleaceae,Sphenocleaceae
Hydroleaceae,Hydroleaceae
Montiniaceae,Montiniaceae
Convolvulaceae,Convolvulaceae
Solanaceae,Solanaceae
Vahliaceae,Vahliaceae
Boraginaceae,Cordiaceae
Boraginaceae,Heliotropiaceae
Boraginaceae,Ehretiaceae
Boraginaceae,Namaceae
Boraginaceae,Hydrophyllaceae
Boraginaceae,Wellstediaceae
Boraginaceae,Boraginaceae
Boraginaceae,Codonaceae
Gentianaceae,Gentianaceae
Apocynaceae,Apocynaceae
Loganiaceae,Loganiaceae
Gelsemiaceae,Gelsemiaceae
Rubiaceae,Rubiaceae
Eucommiaceae,Eucommiaceae
Garryaceae,Garryaceae
Oncothecaceae,Oncothecaceae
Metteniusaceae,Metteniusaceae
Icacinaceae,Icacinaceae
Myodocarpaceae,Myodocarpaceae
Apiaceae,Apiaceae
Araliaceae,Araliaceae
Pittosporaceae,Pittosporaceae
Griseliniaceae,Griseliniaceae
Torricelliaceae,Torricelliaceae
Pennantiaceae,Pennantiaceae
Viburnaceae,Viburnaceae
Caprifoliaceae,Caprifoliaceae
Paracryphiaceae,Paracryphiaceae
Columelliaceae,Columelliaceae
Bruniaceae,Bruniaceae
Calyceraceae,Calyceraceae
Asteraceae,Asteraceae
Goodeniaceae,Goodeniaceae
Menyanthaceae,Menyanthaceae
Phellinaceae,Phellinaceae
Argophyllaceae,Argophyllaceae
Alseuosmiaceae,Alseuosmiaceae
Stylidiaceae,Stylidiaceae
Pentaphragmataceae,Pentaphragmataceae
Rousseaceae,Rousseaceae
Campanulaceae,Campanulaceae
Escalloniaceae,Escalloniaceae
Phyllonomaceae,Phyllonomaceae
Helwingiaceae,Helwingiaceae
Aquifoliaceae,Aquifoliaceae
Cardiopteridaceae,Cardiopteridaceae
Stemonuraceae,Stemonuraceae
Roridulaceae,Roridulaceae
Actinidiaceae,Actinidiaceae
Sarraceniaceae,Sarraceniaceae
Cyrillaceae,Cyrillaceae
Ericaceae,Ericaceae
Clethraceae,Clethraceae
Diapensiaceae,Diapensiaceae
Styracaceae,Styracaceae
Symplocaceae,Symplocaceae
Theaceae,Theaceae
Mitrastemonaceae,Mitrastemonaceae
Lecythidaceae,Lecythidaceae
Ebenaceae,Ebenaceae
Primulaceae,Primulaceae
Sapotaceae,Sapotaceae
Fouquieriaceae,Fouquieriaceae
Polemoniaceae,Polemoniaceae
Sladeniaceae,Sladeniaceae
Pentaphylacaceae,Pentaphylacaceae
Tetrameristaceae,Tetrameristaceae
Balsaminaceae,Balsaminaceae
Marcgraviaceae,Marcgraviaceae
Loasaceae,Loasaceae
Hydrostachyaceae,Hydrostachyaceae
Hydrangeaceae,Hydrangeaceae
Nyssaceae,Nyssaceae
Curtisiaceae,Curtisiaceae
Grubbiaceae,Grubbiaceae
Cornaceae,Cornaceae
Sarcobataceae,Sarcobataceae
Phytolaccaceae,Phytolaccaceae
Petiveriaceae,Petiveriaceae
Nyctaginaceae,Nyctaginaceae
Gisekiaceae,Gisekiaceae
Aizoaceae,Aizoaceae
Kewaceae,Kewaceae
Barbeuiaceae,Barbeuiaceae
Lophiocarpaceae,Lophiocarpaceae
Anacampserotaceae,Anacampserotaceae
Cactaceae,Cactaceae
Portulacaceae,Portulacaceae
Talinaceae,Talinaceae
Basellaceae,Basellaceae
Didiereaceae,Didiereaceae
Halophytaceae,Halophytaceae
Montiaceae,Montiaceae
Molluginaceae,Molluginaceae
Limeaceae,Limeaceae
Stegnospermataceae,Stegnospermataceae
Microteaceae,Microteaceae
Achatocarpaceae,Achatocarpaceae
Amaranthaceae,Amaranthaceae
Caryophyllaceae,Caryophyllaceae
Macarthuriaceae,Macarthuriaceae
Physenaceae,Physenaceae
Asteropeiaceae,Asteropeiaceae
Simmondsiaceae,Simmondsiaceae
Rhabdodendraceae,Rhabdodendraceae
Dioncophyllaceae,Dioncophyllaceae
Ancistrocladaceae,Ancistrocladaceae
Drosophyllaceae,Drosophyllaceae
Nepenthaceae,Nepenthaceae
Droseraceae,Droseraceae
Frankeniaceae,Frankeniaceae
Tamaricaceae,Tamaricaceae
Plumbaginaceae,Plumbaginaceae
Polygonaceae,Polygonaceae
Aextoxicaceae,Aextoxicaceae
Berberidopsidaceae,Berberidopsidaceae
Misodendraceae,Misodendraceae
Schoepfiaceae,Schoepfiaceae
Loranthaceae,Loranthaceae
Opiliaceae,Opiliaceae
Santalaceae,Santalaceae
Olacaceae,Aptandraceae
Olacaceae,Coulaceae
Olacaceae,Octoknemaceae
Olacaceae,Ximeniaceae
Olacaceae,Olacaceae
Olacaceae,Strombosiaceae
Olacaceae,Erythropalaceae
Balanophoraceae,Balanophoraceae
Picrodendraceae,Picrodendraceae
Phyllanthaceae,Phyllanthaceae
Ixonanthaceae,Ixonanthaceae
Linaceae,Linaceae
Euphorbiaceae,Euphorbiaceae
Rafflesiaceae,Rafflesiaceae
Peraceae,Peraceae
Lacistemataceae,Lacistemataceae
Salicaceae,Salicaceae
Passifloraceae,Passifloraceae
Achariaceae,Achariaceae
Goupiaceae,Goupiaceae
Violaceae,Violaceae
Humiriaceae,Humiriaceae
Podostemaceae,Podostemaceae
Hypericaceae,Hypericaceae
Calophyllaceae,Calophyllaceae
Bonnetiaceae,Bonnetiaceae
Clusiaceae,Clusiaceae
Ochnaceae,Ochnaceae
Irvingiaceae,Irvingiaceae
Pandaceae,Pandaceae
Erythroxylaceae,Erythroxylaceae
Rhizophoraceae,Rhizophoraceae
Ctenolophonaceae,Ctenolophonaceae
Trigoniaceae,Trigoniaceae
Dichapetalaceae,Dichapetalaceae
Euphroniaceae,Euphroniaceae
Chrysobalanaceae,Chrysobalanaceae
Balanopaceae,Balanopaceae
Lophopyxidaceae,Lophopyxidaceae
Putranjivaceae,Putranjivaceae
Caryocaraceae,Caryocaraceae
Elatinaceae,Elatinaceae
Malpighiaceae,Malpighiaceae
Centroplacaceae,Centroplacaceae
Lepidobotryaceae,Lepidobotryaceae
Celastraceae,Celastraceae
Huaceae,Huaceae
Cephalotaceae,Cephalotaceae
Brunelliaceae,Brunelliaceae
Cunoniaceae,Cunoniaceae
