label,hyb_genes,hyb_length,Order,Family,Genus,Species
s19811,252,52197,Malpighiales,Ixonanthaceae,Ixonanthes,reticulata
s19947,217,138846,Saxifragales,Crassulaceae,Aeonium,gomerense
s20047,206,145680,Rosales,Rosaceae,Bencomia,exstipulata
s20127,319,219954,Lamiales,Orobanchaceae,Castilleja,miniata
s20139,186,150870,Asparagales,Orchidaceae,Cephalanthera,damasonium
s20151,298,228888,Asparagales,Orchidaceae,Chiloglottis,seminuda
s20249,156,114801,Poales,Poaceae,Dactyloctenium,aegyptium
s20341,200,161985,Asparagales,Orchidaceae,Epipactis,purpurata
s20345,275,203757,Poales,Poaceae,Eremochloa,ophiuroides
s20367,208,139818,Asparagales,Orchidaceae,Erycina,crista-galli
s20381,137,111321,Malvales,Malvaceae,Firmiana,danxiaensis
s20469,254,191181,Malvales,Malvaceae,Heritiera,parvifolia
s20587,187,152169,Asparagales,Orchidaceae,Limodorum,abortivum
s20631,204,160620,Poales,Poaceae,Megathyrsus,maximus
s20743,325,243213,Alismatales,Hydrocharitaceae,Ottelia,acuminata
s20753,61,36984,Brassicales,Brassicaceae,Pachycladon,fastigiatum
s20757,282,185835,Poales,Eriocaulaceae,Paepalanthus,anceps
s20837,253,207372,Asparagales,Asparagaceae,Polygonatum,kingianum
s20917,216,174732,Poales,Poaceae,Rytidosperma,semiannulare
s20919,233,184116,Poales,Poaceae,Sacciolepis,striata
s21037,340,257931,Poales,Poaceae,Themeda,triandra
s21083,323,251349,Santalales,Santalaceae,Viscum,album
s21095,262,208623,Asterales,Asteraceae,Xeranthemum,annuum
s21921,253,196578,Malvales,Dipterocarpaceae,Shorea,kunstleri
s21961,213,160686,Malvales,Dipterocarpaceae,Dipterocarpus,costulatus
s23581,235,178533,Alismatales,Araceae,Spathiphyllum,floribundum
s23615,247,191169,Malvales,Malvaceae,Sterculia,monosperma
s23657,334,242397,Santalales,Loranthaceae,Loranthus,tanakae
s23673,318,242160,Metteniusales,Metteniusaceae,Platea,parvifolia
s23679,325,241974,Asterales,Asteraceae,Pericallis,cruenta
s23711,276,215691,Lamiales,Gesneriaceae,Gesneria,pedicellaris
s23769,134,104328,Santalales,Santalaceae,Viscum,coloratum
s23779,250,201357,Poales,Poaceae,Bouteloua,gracilis
s23789,275,209040,Poales,Poaceae,Anthephora,pubescens
s23829,277,199536,Asterales,Asteraceae,Leontodon,longirostris
s23937,330,225843,Asterales,Campanulaceae,Wahlenbergia,marginata
s24159,271,211032,Rosales,Rosaceae,Kageneckia,oblonga
s24163,333,238404,Asterales,Asteraceae,Cosmos,bipinnatus
