Clade_1_rank,Clade_2_rank,Clade_3_rank,Order,Family,Number of genera (WCVP_Feb22)
ANITA,,,Amborellales,Amborellaceae,1
ANITA,,,Austrobaileyales,Austrobaileyaceae,1
ANITA,,,Austrobaileyales,Schisandraceae,3
ANITA,,,Austrobaileyales,Trimeniaceae,1
ANITA,,,Nymphaeales,Cabombaceae,2
ANITA,,,Nymphaeales,Hydatellaceae,1
ANITA,,,Nymphaeales,Nymphaeaceae,5
Ceratophyllales,,,Ceratophyllales,Ceratophyllaceae,1
Eudicots,Asterids,Campanuliidae,Aquifoliales,Aquifoliaceae,1
Eudicots,Asterids,Campanuliidae,Aquifoliales,Cardiopteridaceae,5
Eudicots,Asterids,Campanuliidae,Aquifoliales,Helwingiaceae,1
Eudicots,Asterids,Campanuliidae,Aquifoliales,Phyllonomaceae,1
Eudicots,Asterids,Campanuliidae,Aquifoliales,Stemonuraceae,12
Eudicots,Asterids,Campanuliidae,Asterales,Alseuosmiaceae,5
Eudicots,Asterids,Campanuliidae,Asterales,Argophyllaceae,2
Eudicots,Asterids,Campanuliidae,Asterales,Asteraceae,1688
Eudicots,Asterids,Campanuliidae,Asterales,Calyceraceae,6
Eudicots,Asterids,Campanuliidae,Asterales,Campanulaceae,99
Eudicots,Asterids,Campanuliidae,Asterales,Goodeniaceae,7
Eudicots,Asterids,Campanuliidae,Asterales,Menyanthaceae,6
Eudicots,Asterids,Campanuliidae,Asterales,Pentaphragmataceae,1
Eudicots,Asterids,Campanuliidae,Asterales,Phellinaceae,1
Eudicots,Asterids,Campanuliidae,Asterales,Rousseaceae,4
Eudicots,Asterids,Campanuliidae,Asterales,Stylidiaceae,6
Eudicots,Asterids,Campanuliidae,Bruniales,Bruniaceae,6
Eudicots,Asterids,Campanuliidae,Bruniales,Columelliaceae,2
Eudicots,Asterids,Campanuliidae,Dipsacales,Caprifoliaceae,34
Eudicots,Asterids,Campanuliidae,Dipsacales,Viburnaceae,3
Eudicots,Asterids,Campanuliidae,Escalloniales,Escalloniaceae,7
Eudicots,Asterids,Campanuliidae,Metteniusales,Metteniusaceae,10
Eudicots,Asterids,Lamiidae,Boraginales,Boraginaceae,156
Eudicots,Asterids,Lamiidae,Garryales,Eucommiaceae,1
Eudicots,Asterids,Lamiidae,Garryales,Garryaceae,2
Eudicots,Asterids,Lamiidae,Gentianales,Apocynaceae,374
Eudicots,Asterids,Lamiidae,Gentianales,Gelsemiaceae,3
Eudicots,Asterids,Lamiidae,Gentianales,Gentianaceae,103
Eudicots,Asterids,Lamiidae,Gentianales,Loganiaceae,16
Eudicots,Asterids,Lamiidae,Gentianales,Rubiaceae,605
Eudicots,Asterids,Lamiidae,Lamiales,Acanthaceae,206
Eudicots,Asterids,Lamiidae,Lamiales,Bignoniaceae,79
Eudicots,Asterids,Lamiidae,Lamiales,Byblidaceae,1
Eudicots,Asterids,Lamiidae,Lamiales,Calceolariaceae,2
Eudicots,Asterids,Lamiidae,Lamiales,Carlemanniaceae,2
Eudicots,Asterids,Lamiidae,Lamiales,Gesneriaceae,150
Eudicots,Asterids,Lamiidae,Lamiales,Lamiaceae,233
Eudicots,Asterids,Lamiidae,Lamiales,Lentibulariaceae,3
Eudicots,Asterids,Lamiidae,Lamiales,Linderniaceae,20
Eudicots,Asterids,Lamiidae,Lamiales,Martyniaceae,5
Eudicots,Asterids,Lamiidae,Lamiales,Mazaceae,3
Eudicots,Asterids,Lamiidae,Lamiales,Oleaceae,28
Eudicots,Asterids,Lamiidae,Lamiales,Orobanchaceae,99
Eudicots,Asterids,Lamiidae,Lamiales,Paulowniaceae,3
Eudicots,Asterids,Lamiidae,Lamiales,Pedaliaceae,11
Eudicots,Asterids,Lamiidae,Lamiales,Phrymaceae,15
Eudicots,Asterids,Lamiidae,Lamiales,Plantaginaceae,105
Eudicots,Asterids,Lamiidae,Lamiales,Plocospermataceae,1
Eudicots,Asterids,Lamiidae,Lamiales,Schlegeliaceae,4
Eudicots,Asterids,Lamiidae,Lamiales,Scrophulariaceae,63
Eudicots,Asterids,Lamiidae,Lamiales,Stilbaceae,11
Eudicots,Asterids,Lamiidae,Lamiales,Tetrachondraceae,2
Eudicots,Asterids,Lamiidae,Lamiales,Thomandersiaceae,1
Eudicots,Asterids,Lamiidae,Lamiales,Verbenaceae,31
Eudicots,Asterids,Lamiidae,Solanales,Convolvulaceae,59
Eudicots,Asterids,Lamiidae,Solanales,Hydroleaceae,1
Eudicots,Asterids,Lamiidae,Solanales,Montiniaceae,3
Eudicots,Asterids,Lamiidae,Solanales,Solanaceae,100
Eudicots,Asterids,Lamiidae,Solanales,Sphenocleaceae,1
