Family,genus_count
Acanthaceae,206
Achariaceae,31
Achatocarpaceae,2
Acoraceae,1
Actinidiaceae,3
Aextoxicaceae,1
Aizoaceae,121
Akaniaceae,2
Alismataceae,18
Alseuosmiaceae,5
Alstroemeriaceae,4
Altingiaceae,1
Alzateaceae,1
Amaranthaceae,187
Amaryllidaceae,72
Amborellaceae,1
Anacampserotaceae,3
Anacardiaceae,79
Ancistrocladaceae,1
Anisophylleaceae,4
Annonaceae,111
Aphanopetalaceae,1
Aphloiaceae,1
Apiaceae,442
Apocynaceae,374
Apodanthaceae,2
Aponogetonaceae,1
Aquifoliaceae,1
Araceae,140
Araliaceae,44
Araucariaceae,3
Arecaceae,183
Argophyllaceae,2
Aristolochiaceae,8
Asparagaceae,119
Asphodelaceae,42
Aspleniaceae,26
Asteliaceae,3
Asteraceae,1688
Asteropeiaceae,1
Atherospermataceae,6
Austrobaileyaceae,1
Balanopaceae,1
Balanophoraceae,16
Balsaminaceae,2
Barbeuiaceae,1
Barbeyaceae,1
Basellaceae,4
Bataceae,1
Begoniaceae,2
Berberidaceae,13
Berberidopsidaceae,2
Betulaceae,6
Biebersteiniaceae,1
Bignoniaceae,79
Bixaceae,3
Blandfordiaceae,1
Bonnetiaceae,4
Boraginaceae,156
Boryaceae,2
Brassicaceae,347
Bromeliaceae,75
Brunelliaceae,1
Bruniaceae,6
Burmanniaceae,14
Burseraceae,19
Butomaceae,1
Buxaceae,6
Byblidaceae,1
Cabombaceae,2
Cactaceae,155
Calceolariaceae,2
Calophyllaceae,11
Calycanthaceae,3
Calyceraceae,6
Campanulaceae,99
Campynemataceae,2
Canellaceae,5
Cannabaceae,9
Cannaceae,1
Capparaceae,15
Caprifoliaceae,34
Cardiopteridaceae,5
Caricaceae,6
Carlemanniaceae,2
Caryocaraceae,2
Caryophyllaceae,101
Casuarinaceae,4
Celastraceae,98
Centroplacaceae,2
Cephalotaceae,1
Ceratophyllaceae,1
Cercidiphyllaceae,1
Chloranthaceae,4
Chrysobalanaceae,27
Circaeasteraceae,2
Cistaceae,8
Cleomaceae,2
Clethraceae,2
Clusiaceae,20
Colchicaceae,15
Columelliaceae,2
Combretaceae,10
Commelinaceae,39
Connaraceae,12
Convolvulaceae,59
Coriariaceae,1
Cornaceae,2
Corsiaceae,3
Corynocarpaceae,1
Costaceae,7
Crassulaceae,36
Crossosomataceae,4
Crypteroniaceae,3
Ctenolophonaceae,1
Cucurbitaceae,101
Cunoniaceae,28
Cupressaceae,30
Curtisiaceae,1
Cyatheaceae,14
Cycadaceae,1
Cyclanthaceae,12
Cymodoceaceae,6
Cynomoriaceae,1
Cyperaceae,92
Cyrillaceae,2
Cystodiaceae,1
Cytinaceae,2
Daphniphyllaceae,1
Dasypogonaceae,4
Datiscaceae,1
Degeneriaceae,1
Dennstaedtiaceae,10
Diapensiaceae,6
Dichapetalaceae,3
Didiereaceae,6
Dilleniaceae,11
Dioncophyllaceae,3
Dioscoreaceae,4
Dipentodontaceae,2
Dipteridaceae,2
Dipterocarpaceae,16
Dirachmaceae,1
Doryanthaceae,1
Droseraceae,3
Drosophyllaceae,1
Ebenaceae,3
Ecdeiocoleaceae,2
Elaeagnaceae,3
Elaeocarpaceae,12
Elatinaceae,2
Emblingiaceae,1
Ephedraceae,1
Equisetaceae,1
Ericaceae,124
Eriocaulaceae,7
Erythroxylaceae,4
Escalloniaceae,7
Eucommiaceae,1
Euphorbiaceae,227
Euphroniaceae,1
Eupomatiaceae,1
Eupteleaceae,1
Fabaceae,773
Fagaceae,8
Flagellariaceae,1
Fouquieriaceae,1
Francoaceae,6
Frankeniaceae,1
Garryaceae,2
Geissolomataceae,1
Gelsemiaceae,3
Gentianaceae,103
Geraniaceae,8
Gerrardinaceae,1
Gesneriaceae,150
Ginkgoaceae,1
Gisekiaceae,1
Gleicheniaceae,6
Gnetaceae,1
Gomortegaceae,1
Goodeniaceae,7
Goupiaceae,1
Griseliniaceae,1
Grossulariaceae,1
Grubbiaceae,1
Guamatelaceae,1
Gunneraceae,1
Gyrostemonaceae,5
Haemodoraceae,15
Halophytaceae,1
Haloragaceae,7
Hamamelidaceae,26
Hanguanaceae,1
Heliconiaceae,1
Helwingiaceae,1
Hernandiaceae,4
Himantandraceae,1
Huaceae,2
Humiriaceae,8
Hydatellaceae,1
Hydrangeaceae,8
Hydrocharitaceae,14
Hydroleaceae,1
Hydrostachyaceae,1
